Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Eigen InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Eigen Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Eigen Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Eigen Transpose Time,CSF2 Transpose Time, CSF3 Transpose Time, Eigen Matrix Multiplication Time, CSF2 Matrix Multiplication Time, CSF3 Matrix Multiplication Time
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,161617,81339,164102,20,27981,26579,20,37209,36347,6992,33332,32600,167564,60676,18196,17302,327803,339685,1039570,3798170,4001864,
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,150898,76140,165945,20,26919,26479,40,42829,400876,8145,43810,31228,167564,60676,18196,26930,322022,338623,12523004,3901069,3913252,
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,147081,74787,163120,20,27450,26309,20,34754,35957,6973,33161,30997,167564,60676,18196,16060,329145,334525,1024493,3864111,3952163,
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,156157,76100,165164,20,26979,26419,20,33292,37038,7194,34133,30777,167564,60676,18196,16570,309679,339334,1000148,3882425,3973693,
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1131639,345134,827711,20,151117,145016,20,218602,181063,58017,175052,159743,902012,311836,85003,132343,1674868,1675690,12485275,47342702,48919851,
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1236963,459415,896307,20,181324,185341,30,170243,199727,60431,172848,157750,902012,311836,85003,233048,1746790,1801862,12650178,47893354,49047946,
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1082830,441671,843060,20,182045,215556,20,219724,244239,63798,205698,197553,902012,311836,85003,304901,1976282,1913847,12472391,47815040,49261938,
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1091716,412458,917466,20,143724,138895,30,168660,181103,40204,173569,159413,902012,311836,85003,136421,1656484,1974428,11795157,47720135,48763062,
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1069245,350845,848970,21,140488,139727,20,167097,179830,37048,183738,160565,902012,311836,85003,129678,1815777,2031734,12401930,47807326,49204354,
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1029021,336638,785444,20,141069,138555,30,170062,188666,51535,180211,164823,902012,311836,85003,125751,1606783,1970512,12031561,48106616,48807133,
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1171403,340847,824265,21,151057,138214,20,167047,186703,42298,172728,159934,902012,311836,85003,138855,1700515,1917043,12177919,47499660,49161134,
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1171353,341317,783860,20,144916,138375,20,180722,181533,38481,171715,161077,902012,311836,85003,162889,1649691,1830184,11916699,47521130,49242934,
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1125558,399694,800380,21,142542,140017,20,181082,182215,52527,173790,159834,902012,311836,85003,144054,1818332,1831365,12306135,47684680,49158829,
16.000000, 274.000000, 274.000000, 943.000000, 0.992701, 0.012561,1200175,450518,920923,20,222889,163130,20,214424,226166,61744,203764,233739,902012,311836,85003,184188,1690326,1862432,11973323,47758416,49021918,
17.000000, 443.000000, 443.000000, 1033.000000, 0.995485, 0.005264,2867630,752843,1996188,20,365051,350534,20,534722,495671,176575,460777,435580,2356764,803626,212829,428508,4182296,4133927,47769967,217714485,204670935,
17.000000, 443.000000, 443.000000, 1033.000000, 0.995485, 0.005264,3701783,799620,1973106,20,388484,376662,20,434950,468040,360803,454075,416836,2356764,803626,212829,618897,4007435,4358640,48996211,198614085,205102698,
17.000000, 443.000000, 443.000000, 1033.000000, 0.995485, 0.005264,2727582,834393,1980189,20,378185,377013,20,445028,458793,122445,444868,431152,2356764,803626,212829,584103,4114831,4463012,48287789,199161229,204795064,
17.000000, 443.000000, 443.000000, 1033.000000, 0.995485, 0.005264,2983122,770166,1970972,20,378075,357668,20,447272,517230,195109,453904,471106,2356764,803626,212829,464173,4300964,5076520,49620327,198804785,204318528,
