Matrix Number, Sparsity, Redundancy, CSF1 Size, CSF2 Size, CSF3 Size
600, 7, 1, 11868, 9744, 3654
601, 7, 2, 11700, 10460, 4233
602, 7, 3, 11588, 11188, 4807
603, 7, 4, 11956, 12068, 5375
604, 7, 5, 11748, 12612, 5835
605, 7, 6, 12092, 13456, 6382
606, 7, 7, 11908, 13916, 6773
607, 7, 8, 11988, 14428, 7137
608, 7, 9, 12124, 14808, 7388
609, 7, 10, 11780, 14796, 7465
610, 7, 11, 12044, 15416, 7864
611, 7, 12, 11860, 15636, 8075
612, 7, 13, 11892, 15948, 8301
613, 7, 14, 12060, 16400, 8598
614, 7, 15, 11700, 16124, 8481
615, 7, 16, 11772, 16400, 8670
616, 7, 17, 11444, 16420, 8767
617, 7, 18, 11524, 16540, 8837
618, 7, 19, 11796, 16900, 9039
619, 7, 20, 11852, 17232, 9274
620, 7, 21, 12372, 17748, 9531
621, 7, 22, 11340, 16712, 9012
622, 7, 23, 12484, 18108, 9773
623, 7, 24, 12036, 17852, 9693
624, 7, 25, 11980, 17952, 9782
625, 7, 26, 12444, 18456, 10044
626, 7, 27, 11492, 17292, 9409
627, 7, 28, 12236, 18296, 9976
628, 7, 29, 11540, 17620, 9643
629, 7, 30, 12244, 18388, 10043
630, 7, 31, 11524, 17780, 9767
631, 7, 32, 11476, 17820, 9809
632, 7, 33, 11708, 18160, 10006
633, 7, 34, 11492, 17748, 9751
634, 7, 35, 11900, 18376, 10120
635, 7, 36, 11628, 18072, 9960
636, 7, 37, 11596, 18200, 10064
637, 7, 38, 12012, 18672, 10314
638, 7, 39, 12252, 19088, 10566
639, 7, 40, 11868, 18528, 10242
640, 7, 41, 11420, 17960, 9928
641, 7, 42, 11820, 18464, 10206
642, 7, 43, 11708, 18664, 10384
643, 7, 44, 11836, 18808, 10460
644, 7, 45, 12188, 19056, 10558
645, 7, 46, 12084, 19052, 10581
646, 7, 47, 11956, 18820, 10439
647, 7, 48, 11948, 18864, 10474
648, 7, 49, 11604, 18564, 10335
649, 7, 50, 11740, 18792, 10472
650, 7, 51, 11796, 18740, 10419
651, 7, 52, 11708, 18808, 10492
652, 7, 53, 12068, 19332, 10795
653, 7, 54, 11732, 18804, 10483
654, 7, 55, 11876, 19188, 10735
655, 7, 56, 11620, 18724, 10451
656, 7, 57, 12164, 19556, 10939
657, 7, 58, 11156, 18052, 10063
658, 7, 59, 11764, 19036, 10649
659, 7, 60, 11268, 18372, 10275
660, 7, 61, 12228, 19692, 11025
661, 7, 62, 11684, 19108, 10723
662, 7, 63, 11860, 19244, 10781
663, 7, 64, 12204, 19672, 11016
664, 7, 65, 11924, 19372, 10861
665, 7, 66, 11812, 19100, 10685
666, 7, 67, 11708, 19032, 10660
667, 7, 68, 12172, 19592, 10964
668, 7, 69, 11748, 19244, 10809
669, 7, 70, 11532, 18864, 10578
670, 7, 71, 12012, 19616, 11022
671, 7, 72, 11924, 19492, 10951
672, 7, 73, 11508, 18812, 10545
673, 7, 74, 11828, 19244, 10789
674, 7, 75, 11548, 18856, 10568
675, 7, 76, 11612, 19088, 10726
676, 7, 77, 12044, 19608, 11008
677, 7, 78, 12484, 20204, 11345
678, 7, 79, 12092, 19592, 10984
679, 7, 80, 11820, 19456, 10950
680, 7, 81, 11412, 18900, 10635
681, 7, 82, 12436, 20140, 11309
682, 7, 83, 11884, 19384, 10880
683, 7, 84, 12380, 20192, 11362
684, 7, 85, 11492, 18884, 10603
685, 7, 86, 12324, 20268, 11433
686, 7, 87, 12468, 20188, 11337
687, 7, 88, 12044, 19608, 11008
688, 7, 89, 11844, 19412, 10911
