Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,36557,32751,46064,61243,20,4067,7193,6051,1593,211,4528,752,1573,7374,7504,12613,19392,14700,6409,19392,15629,101647,111635,4147,116204,1858887,1624657,111705,3536,591,6361,2654,40,20,6111,181,1232,3016,5780,1884,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,10930,101586,163771,44542,20,4589,5249,4067,892,751,14506,561,1173,5760,6011,6883,15908,22924,14296,12968,3016,103771,108830,3095,268965,622825,723750,269184,1072,1523,5660,2635,30,20,5180,30,1061,1132,5540,531,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,11311,107508,152820,44753,20,4308,5210,4097,871,691,5550,511,1142,5279,5841,6242,15908,22924,14296,12968,2895,92620,106926,7113,227689,628235,677485,225454,2996,1342,5701,2554,30,20,5219,30,1032,1062,5640,531,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,11431,105224,164252,46375,20,4408,5380,4118,681,741,5630,511,1162,5891,5941,6783,15908,22924,14296,12968,2625,94674,111034,3336,259527,641479,669020,243808,5300,16090,8536,2284,30,20,5179,40,1032,1112,5641,551,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,19095,102028,161998,45794,20,4679,5119,4217,841,712,5620,611,1412,5180,5871,6252,15908,22924,14296,12968,3236,96267,109231,3907,262322,645096,642150,270187,1001,4739,5710,2394,40,20,5350,30,1042,1062,5460,421,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,10620,102799,160455,45474,20,5340,5289,4158,861,741,5840,501,1133,5430,5871,7113,15908,22924,14296,12968,20157,94744,126763,2975,251202,659503,635077,226647,981,4949,21470,2826,30,20,5210,31,1142,1362,5460,531,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,11190,85106,150567,45393,30,4518,5249,4227,901,741,5790,521,1062,5280,5801,5801,15908,22924,14296,12968,2365,95185,111315,2625,248447,676083,642822,240582,2825,1102,20448,2264,30,20,5269,20,1061,1142,5450,441,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,10900,88342,162378,48619,20,4358,5059,4218,851,771,5671,521,1062,5621,6051,7433,15908,22924,14296,12968,2545,94714,110153,3607,270627,666425,644696,247555,872,1362,20097,2555,30,20,5530,30,1012,1012,5510,401,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,11712,94564,172177,48539,20,4378,5300,4108,831,731,5791,501,1333,5260,5831,6041,15908,22924,14296,12968,5661,95927,114160,2805,308167,657799,659141,233369,4658,1893,20678,2314,30,20,5199,20,1142,1262,5691,491,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,14066,121173,171125,47017,20,4298,5330,4157,882,671,5760,521,1092,5260,5711,7053,15908,22924,14296,12968,2475,95044,112167,3286,251643,626733,636971,247015,3736,1723,5590,2364,30,20,5159,30,1052,1042,5851,390,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,28282,95526,151188,46285,20,4748,5230,3978,832,762,5721,521,1122,5440,5841,6081,15908,22924,14296,12968,11310,95696,111906,3186,213953,634827,634276,252394,891,1142,5630,2164,40,20,5210,20,1062,1342,5580,481,
7.000000, 219.000000, 85.000000, 438.000000, 0.786004, 0.023529,4819,27771,33992,18134,30,3516,1804,4218,912,341,2876,270,4989,5770,2364,7133,5600,5856,2672,5600,2214,66672,49611,3677,57366,472850,500551,49211,752,821,3347,2504,30,20,1653,81,971,270,4108,351,
7.000000, 219.000000, 85.000000, 438.000000, 0.786004, 0.023529,5761,37198,22301,58798,20,2224,2154,3847,781,211,2204,451,8446,4658,2875,5340,5600,5856,2672,5600,2765,57535,57696,5520,40554,465876,495972,41356,852,792,2845,1603,50,20,2324,61,722,231,2554,591,
